CASO	DATA CONTATO	data_do_pedido	SOLICITAÇÃO	DATA RESPOSTA	data_da_resposta	RESPOSTA	ANEXOS
54	08/09/2015	08/09/2015	Cidadão solicita informações em relação a finalidade das despesas de viagens dos vereadores, como a câmara disponibilizar recursos	08/09/2015	08/09/2015	"Resposta enviada ao cidadão: “As informações requeridas encontram-se no portal da Câmara Municipal de Salvador, link: www.cms.ba.gov.br/despesa.aspx
 Caso não consiga acessar o link o senhor pode acessar o site http://www.cms.ba.gov.br e no menu transparência, aba despesas de viagens, encontrar todas as informações referente às viagens.
 Quanto a referida verba, ela já é prevista no orçamento anual da Câmara, cada Vereador possui uma cota para este fim.”"	
55	09/09/2015	09/09/2015	"Solicitação do cidadão: “Fornecer os dados das leis de doação de terrenos a associações religiosas, em formato de planilha eletrônica, contendo os seguintes campos: 1) Número da lei; 2) Data de publicação; 3) Nome da entidade beneficiária da doação; 4) CNPJ da entidade beneficiária da doação; 5) Finalidade da doação; 6) Tamanho ou metragem do terreno; 7) Valor monetário do terreno; O período de publicação dessas leis deve se referir a janeiro de 2010 a agosto de 2015."	14/09/2015	14/09/2015	"Resposta enviada ao cidadão: ""Informamos que após o levantamento da documentação que trata sobre desafetação e alienação de terrenos, doando para entidades religiosas, a única lei que encontramos no período de 2010 a 2015 é a que preenchemos a planilha. """	Anexo 24
56	16/09/2015	16/09/2015	Cidadão solicita alteração realizada na concessão do auxílio-transporte aos servidores da Câmara Municipal de Salvador			Diretoria Administrativa da Câmara Municipal de Salvador, órgão responsável pelas informações, não enviou resposta.	
57	05/11/2015	05/11/2015	"Solicitação do cidadão: “Tive meu veiculo atingido na roda traseira em 17/04/2015 as 16:30 pelo assessor parlamentar MARCOS JOSE ASSEMANY, cad. 15.217. Na ação de reparação Danos que movi contra ele, em sua defesa omitiu sua condição de servidor público, apesentou contrato de locação de seu veículo à empresa VIVERD SERVIÇOS AMBIENTAIS LTDA, desde 01/01/2015 dizendo ser motorista, e depender deste contrato para sobreviver. Considerando que no dia do acidente, o seu Marcos Jose Assemany ainda era assessor parlamentar G23, classe CC10, cad. 15.217. e disse que estava a serviço da empresa Viverd, vem através deste Requerer o que segue: a) Qual a jornada de trabalho do assessor parlametar MARCOS JOSE ASSEMANY; b) No dia 17/04/2015 as 17:30 o servidor MARCOS JOSE ASSEMANY estava de serviço para a camara municipal? Em caso positivo existe registro que possa comprovar tal fato? c) Enquanto servidor público poderia ser motorista para a empresa Viverd? Em caso positivo, as atividades são compatíveis? d) Há alguma ilegalidade no fato do servidor MARCOS JOSE ASSEMANY esta como motorista com contrato de locação desde 05/01/2015, ou seja, concomitantemente com o cargo de assessor parlamentar?”"	19/11/2015	19/11/2015		
58	11/11/2015	11/11/2015	"Solicitação do cidadão: “cópias dos seguintes documentos vinculados ao contrato CMS nº 162/2010 - Processo CMS nº 0022/2010: - Escalas de eventos realizados na Câmara Municipal e prédios sob a administração desta (contendo datas e horários); - Listas dos garçons que trabalharam nos referidos eventos; e as - Solicitações de horas extras encaminhadas à empresa CS, mediante o formulário denominado “SOLICITAÇÃO DE HORA EXTRA – EMPRESA CS.”"	18/12/2015	18/12/2015	"Resposta enviada ao cidadão: 1) Total de servidores concursados do quadro efetivo da Assembleia Legislativa, listados por vereador; 
 R: Não possuímos dados sobre o quadro de servidores concursados da Assembléia Legislativa.
 2) Total de cargos comissionados da Câmara de Vereadores, listados por vereador; 
 R: O site da Câmara Municipal de Salvador dispõe de lista atualizada mês a mês com o total de servidores efetivos e comissionados em exercício.
 Anexo a este e-mail segue a referida lista atualizada.
 3) Total de cargos comissionados atrelados à estrutura dos gabinetes dos Vereadores, listados por vereador; 
 R: Atentar-se à resposta da questão 2.
 4) Total de cargos comissionados do órgão que são exercidos por servidores efetivos do quadro da Câmara de Vereadores, listados por vereador; 
 R: Os servidores efetivos atualmente ocupam Funções de Confiança (destinados a estes, são as chefias, coordenações e assistências técnicas), de forma que os cargos comissionados não são ocupados por servidores efetivos.
 5) Total de pessoas que exercem cargos comissionados e que não possuem qualquer vínculo efetivo (não são concursados em outros órgãos) com a Administração Pública, listados por vereador; 
 R: Atentar-se à resposta da questão nº 2.
 6) Total de terceirizados que atuam na Câmara de Vereadores, listados por vereador; 
 R: Os empregados terceirizados desta Casa Legislativa não são lotados em gabinetes de vereadores. Os trabalhadores terceirizados se ocupam de atividades ditas ""meio"", pois é defeso a trabalhador terceirizado atuar em atividade fim de órgãos públicos, ferindo a necessidade de concurso público para ingresso no serviço público para atuar em atividade fim.
 Desta forma, os trabalhadores terceirizados desta Casa Legislativa laboram na Limpeza e conservação e Recepção dos prédios (atividades ""meio"").
 7) Devido a incrível dificuldade de encontrar um vereador na cms ou de ter um retorno dos mesmos, solicito o telefone celular de todos bem como a agenda completa, de todos os vereadores, para o mês de novembro de 2015. 
 R: Não estamos autorizados a publicizar os telefones celulares dos vereadores desta Casa, os contatos dos gabinetes e setores da Câmara estão disponíveis no Site da Câmara Municipal de Salvador.
 Por fim, conforme orientação recebida da Presidência desta casa, as demais informações não contempladas nesta resposta deverão ser tratadas diretamente, e querendo, presencialmente, com a Presidência desta casa."	
59	19/05/2015	19/05/2015	"Solicitação da cidadã:  “a) O montante mensal bruto recebido pelos vereadores, especificando o que é salário-base e o que são gratificações, se houver, para vereadores que participam da mesa diretora, lideranças e vice-lideranças e comissões, ou qualquer outra gratificação adicional que o vereador receber, informando o motivo de recebimento da gratificação; b) O montante de todos benefícios que o vereador recebe mensalmente, incluindo auxílio-moradia, auxílio-paletó, auxílio-educação, auxílio-alimentação e outros; c) O montante que cada vereador dispõe mensalmente para cobrir despesas com os seguintes itens, informando como é realizado o pagamento de cada (se diretamente pela Câmara Municipal a empresas contratadas, ou se é indenizado ao vereador mediante apresentação de nota fiscal, ou se é repassado automaticamente ao vereador todo mês, ou qualquer outra forma): I - passagens aéreas; II - telefonia; III - serviços postais; IV - manutenção de escritórios de apoio à atividade parlamentar; V - assinatura de publicações; VI - fornecimento de alimentação do parlamentar; VII - hospedagem VIII - outras despesas com locomoção, como locação ou fretamento de aeronaves e veículos automotores, embarcações, serviços de táxi, pedágio e estacionamento, passagens terrestres, marítimas ou fluviais; IX - combustíveis e lubrificantes; X - serviços de segurança prestados por empresa especializada; XI – contratação de consultorias e trabalhos técnicos; XII - divulgação da sua atividade parlamentar. d) A quantidade máxima de assessores comissionados que cada vereador pode empregar em seu gabinete e a verba mensal bruta destinada para pagamento desses funcionários. Solicito que as informações sejam fornecidas em formato digital, quando disponíveis, conforme estabelece o artigo 11, parágrafo 5º da lei 12.527/2011. Na eventualidade de as informações solicitadas não serem fornecidas, requeiro que seja apontada a razão da negativa bem como, se for o caso, eventual grau de classificação de sigilo (ultrassecreto, secreto ou reservado), tudo nos termos do artigo 24, parágrafo 1º da Lei 12.527/2011. ”"	01/06/2015	01/06/2015	Resposta enviada por anexo	Anexo 25
60	08/07/2015	08/07/2015	"Solicitação do órgão : “Precisamos, para subsidiar os trabalhos legislativos desta Casa, saber qual a quantidade de cargos efetivos/estáveis e cargos comissionados do quadro de pessoal da Câmara Municipal de Salvador.
 Solicitamos esta informação com a brevidade possível, bastando informar o quantitativo de cada cargo. ”"	08/07/2015	08/07/2015	"Resposta enviada ao órgão: “Segue link com informações sobre todos os cargos, efetivos e comissionados, para consulta; http://www.cms.ba.gov.br/upload/rf62015.pdf
 Esta informação encontra-se na aba transparência do site da Câmara Municipal de Salvador, http://www.cms.ba.gov.br/ , item recursos humanos.”"	
61	10/09/2015	10/09/2015	Cidadão solicitadados referentes aos servidores dessa Casa Legislativa: 1 - Qual o número de servidores concursados? 2 - Qual o número de servidores comissionados? 3 - Qual o número de servidores terceirizados? 4 - Os servidores recebem auxilio alimentação? Qual o valor, e qual a legislação que concede o benefício?	22/09/2015	22/09/2015	"Resposta enviada ao cidadão: 
 Em resposta a sua solicitação a esta Ouvidoria, informamos que atualmente nesta Casa Legislativa possuímos um quadro de 241 (duzentos e quarenta e um) Servidores Efetivos e 908 (novecentos e oito) Cargos Comissionados. Essas informações constam no Portal da Transparência, situado no site www.cms.ba.gov.br.
 O valor do Auxílio Alimentação é de R$982,10 (novecentos e oitenta e dois reais e dez centavos), percebidos pelos Servidores Efetivos e Cargos em Comissão ocupantes das classes CC-20 A CC-80, regulamentado pelo Ato da Mesa nº 468/2010, publicado no D.O.L. nº 3.442, de 02/06/2010, à página 18."	
62	17/09/2015	17/09/2015	Cidadã solicitaa frequência de comparecimento de TODOS os vereadores no último semestre.	17/09/2015	17/09/2015	"Resposta enviada ao cidadão:
 “A lista de frequência encontra-se no link:http://www.cms.ba.gov.br/frequencia.aspx no site da Câmara Municipal de Salvado. Caso o senhor não consiga acessá-lo o senhor pode abrir o site da Câmara link: http://www.cms.ba.gov.br/index.aspx e no menu transparência clicar na aba Frequência de vereadores, lá é possível encontrar todos os dias de sessão e quais vereadores estiveram presente no plenário”"	
63	11/11/2015	11/11/2015	Solicitação do cidadão: “Gostaria de saber como posso ter acesso aos projetos em tramitação perante esta casa legislativa. Estou fazendo um estudo de mestrado e gostaria de obter informações a respeito da tramitação de projetos de lei que trate sobre a temática da energia solar”	11/11/2015	11/11/2015	"Resposta enviada ao cidadão: “As informações desejadas encontram-se no link: http://200.223.112.188:88/leg/grid_put_dinamico/
 caso o mesmo não funcione o sr. pode entrar no portal da Câmara Municipal de Salvador e no menu transparência clicar na aba proposição do legislativo.”"	
64	03/02/2016	03/02/2016	"Solicitação enviada por e-mail pelo FENALEGIS: “A Federação Nacional dos Servidores dos Legislativos e Tribunais de Contas Municipais – FENALEGIS, neste ato representado por seu procurador, com a devida consideração e respeito, considerando os termos da Lei 12.527/2001 (Lei de Acesso à Informação) e nos artigos 600 e 603 da CLT, REQUER a Vossa Senhoria que: a) Informe se efetuou o pagamento da Contribuição Sindical Compulsória, do exercício de 2015, na forma prescrita no artigo 579 da CLT; b) Caso efetuado o pagamento, para qual entidade sindical fez o recolhimento? E qual o valor recolhido? Instrua a resposta com cópia da guia de recolhimento da contribuição sindical; Termos em que, requer, por ser de direito constitucional, responda ao presente requerimento. ”"	25/02/2016	25/02/2016	"Resposta enviada ao cidadão: “ Em atenção à vossa solicitação, encaminhamos a resposta fornecida pela Diretoria Administrativa desta Casa.
 ""O recolhimento foi feito para a Confederação Servidores Públicos do Brasil, o valor recolhido foi de R$ 126.941,87 (cento e vinte e seis mil, novecentos e quarenta e um reais e oitenta e sete centavos). Em anexo consta a cópia do comprovante de recolhimento."""	
65	18/03/2016	18/03/2016	"Cidadã solicita Salários e complementações de cada vereador e respectivo chefe de gabinete, mês a mês; lista de servidores beneficiados por verba de representação ou outro nome para despesas diversas (gasolina, viagens etc.), mês a mês e valor gasto com verba de representação na Câmara de Vereadores, mês a mês."	21/03/2016	21/03/2016	Foi enviado à cidadã a resposta oficial da Diretoria Administrativa da Câmara Municipal, órgão responsável pelas informações.	Anexo 26
66	27/04/2016	27/04/2016	"Cidadão solicita
 Informações sobre benefício de exoneração de cargo comissionado"	28/04/2016	28/04/2016	"Resposta enviada ao cidadão: “Prezado Senhor João,
 Em atenção à sua solicitação, esclarecemos que as informações sobre sua contratação e exoneração podem ser obtidas diretamente com o Gabinete do Vereador. Em contato com o setor de Recursos Humanos desta Casa, fomos informados que não há benefícios para exoneração de cargos comissionados, à exceção de 13° e férias caso o comissionado tenha concluído o período de um ano ou um valor referente a proporcionalidade do 13°, caso o comissionado não tenha completado um ano de serviço. O cálculo e o repasse ocorrem após a Coordenação de Recursos Humanos receber o documento de dispensa vindo do Vereador. Nesse caso, solicitamos que procure o Gabinete para demais orientações”"	
67	01/07/2016	01/07/2016	Cidadã solicita acesso a documentos relativos aos registros de demandas da Ouvidoria da Câmara Municipal de Salvador para fins de pesquisa acadêmica de doutorado.	01/07/2016	01/07/2016	Foi enviado a cidadã todos os documentos solicitados.	Anexo 27
68	18/07/2016	18/07/2016	Cidadã solicita o resultado, não importando o exercício, da última conta de governo municipal julgada pela Câmara Municipal de Salvador	19/07/2016	19/07/2016	Foi enviado a cidadã o último Decreto Legislativo referente às contas do Município é o Decreto n.961/2015	Anexo 28
69	10/08/2016	10/08/2016	Cidadã solicita valor atual da verba de gabinete de vereador para a contratação de assessoria e o valor que é acrescido no caso desse vereador ser líder do partido.	18/11/2016	18/11/2016	Foi encaminhado ao cidadão anexo resposta da Diretoria Administrativa desta Casa sobre a verba de gabinete dos Vereadores destinada à contratação de assessores e a quantidade de pontos acrescidos ao Parlamentar em caso de liderança de partido.	Anexo 29
70	06/09/2016	06/09/2016	Cidadão solicita informações sobre PL 190/2016	06/09/2016	06/09/2016	"Cidadão orientado a acessar Portal da Câmara Municipal de Salvador ( http://www.cms.ba.gov.br/ ) onde estão disponíveis na lateral esquerda, aba ""Transparência"", no item ""Proposições do Legislativo"", informações sobre os projetos de lei de cada vereador."	
71	06/09/2016	06/09/2016	Cidadão solicita cópia da Constituição impressa.	06/09/2016	06/09/2016	Cidadão foi informado que a cópia impressa da Constituição está disponível para consultas nas bibliotecas públicas do município, inclusive na biblioteca da Câmara Municipal de Salvador, localizada no Centro de Cultura (Endereço: Praça Thomé de Souza, s/n, Centro. Ao lado do Elevador Lacerda. Horário de funcionamento: 8:30 às 17:00). Lembramos que esta opção é apenas para consulta do livro.	
72	06/09/2016	06/09/2016	Cidadã solicita informações referente à Mensagem do Executivo nº 15/16 - Projeto de Lei nº 276/16	08/09/2016	08/09/2016	"Cidadão orientado a acessar Portal da Câmara Municipal de Salvador ( http://www.cms.ba.gov.br/ ) onde estão disponíveis na lateral esquerda, aba ""Transparência"", no item ""Proposições do Legislativo"", informações sobre os projetos de lei de cada vereador."	
73	12/09/2016	12/09/2016	Cidadã solicita informação sobre LOM	14/09/2016	14/09/2016	Foram encaminhadas todas as emendas feitas à LOM até 2016	Anexo 30
74	26/09/2016	26/09/2016	Cidadão solicita Valor do subsidio dos vereadores	26/09/2016	26/09/2016	"Em atenção a sua solicitação com base na Lei de Acesso a Informação, de acordo com a DIRAD (Diretoria Administrativa da CMS) encaminhamos a resposta do seu pleito.
 
 1- O valor do subsídio bruto atual dos Vereadores pode ser encontrado através deste link: http://www.cms.ba.gov.br/recursos_humanos.aspx;
 2- O valor do subsídio bruto dos Vereadores para 2017, ainda não foi votada, e sem conhecimento de data prevista para votação;
 3- Quantidade de Assessores - Mínimo de 07 e no Máximo de 17;
 4- Com relação aos benefícios dos Vereadores:
 4.1. Veículo automotivo locado - 01 para cada Parlamentar;
 4.2. Celular corporativo - 01 aparelho e uma linha móvel por Parlamentar;
 4.3. Auxílio Terno - Não é concedido ao Parlamentar;
 4.4. 13º Salário - Não é concedido ao Parlamentar;
 4.5. Auxílio Alimentação - Não é concedido ao Parlamentar;
 4.6. Plano de Saúde - Não é concedido ao Parlamentar;
 4.7. Seguro de Vida - Não é concedido ao Parlamentar."	
75	03/10/2016	03/10/2016	"Cidadão solicita comprovante de estadia da Viagem à Brasília do Vereador Everaldo Augusto para a Audiência com a Secretaria de Patrimônio da União – SPU no dia 11/03/2016;"	27/10/2016	27/10/2016	Foi enviado ao cidadão anexo com a informação solicitada.	Anexo 31
76	29/09/2016	29/09/2016	Cidadã solicita informações sobre Projeto de Lei Nº 224/16.	29/09/2016	29/09/2016	Cidadã orientada a acessar o Portal da Câmara Municipal de Salvador a fim de acompanhar todos os Projetos de Lei e suas respectivas informações.	
77	16/09/2016	16/09/2016	Solicita Valor do subsidio dos vereadores	26/09/2016	26/09/2016	"Resposta enviada ao cidadão: “com base na Lei de Acesso a Informação, de acordo com a DIRAD (Diretoria Administrativa da CMS) encaminhamos a resposta do seu pleito.
 1- O valor do subsídio bruto atual dos Vereadores pode ser encontrado através deste link: http://www.cms.ba.gov.br/recursos_humanos.aspx;
 2- O valor do subsídio bruto dos Vereadores para 2017, ainda não foi votada, e sem conhecimento de data prevista para votação;
 3- Quantidade de Assessores - Mínimo de 07 e no Máximo de 17;
 4- Com relação aos benefícios dos Vereadores:
  4.1. Veículo automotivo locado - 01 para cada Parlamentar;
  4.2. Celular corporativo - 01 aparelho e uma linha móvel por Parlamentar;
  4.3. Auxílio Terno - Não é concedido ao Parlamentar;
  4.4. 13º Salário - Não é concedido ao Parlamentar;
  4.5. Auxílio Alimentação - Não é concedido ao Parlamentar;
  4.6. Plano de Saúde - Não é concedido ao Parlamentar;
  4.7. Seguro de Vida - Não é concedido ao Parlamentar."""	
78	13/12/2016	13/12/2016	"Foram enviadas pelo cidadão as seguintes perguntas: Q1 – Quais são as áreas da administração responsáveis pela manutenção do Portal Eletrônico dessa casa legislativa?
 Q2 – Quais os critérios, e quem determina a escolha dos conteúdos disponibilizados no Portal Eletrônico dessa casa legislativa?
 Q3 – Quais os principais objetivos a serem alcançados pela Câmara Municipal com a manutenção e atualização do Portal Eletrônico?
 Q4 – Quais as principais dificuldades e desafios enfrentados pela Câmara Municipal na manutenção e atualização do Portal Eletrônico?
 Q5 – Existem relatórios com dados estatísticos de avaliação de acesso e funcionamento do Portal Eletrônico da Câmara Municipal?
 Q6 – Qual foi a última vez que ocorreu alguma mudança (por exemplo, de layout, de linguagem, de plataforma ou de tecnologia) relevante no Portal Eletrônico da Câmara Municipal? Existem planos para o futuro?"			As informações solicitadas pelo cidadão não foram fornecidas pelo Setor responsável (DIRAD).	Anexo 32
79	06/03/2017	06/03/2017	Cidadã solicita informação de lei ou decreto que prevê feriado no dia de carnaval	06/03/2017	06/03/2017	Foi enviado ao cidadão lista de feriados nacionais	Anexo 33
80	13/03/2017	13/03/2017	Cidadão solicita, por meio da Lei de Acesso à Informação, legislação que defina feriado no Carnaval.	13/03/2017	13/03/2017	Foi enviado ao cidadão lista de feriados nacionais	Anexo 34
81	13/03/2017	13/03/2017	Cidadão solicita, por meio da Lei de Acesso à Informação, legislação que defina feriado no Carnaval.	13/03/2017	13/03/2017	Foi enviado ao cidadão lista de feriados nacionais.	Anexo 35
82	13/03/2017	13/03/2017	Cidadão solicita, por meio da Lei de Acesso à Informação, legislação que defina feriado no Carnaval.	13/03/2017	13/03/2017	Foi enviado ao cidadão lista de feriados nacionais.	Anexo 36
83	03/03/2017	03/03/2017	Cidadão questiona a existência de lei que obrigue o uso de focinheira em cães de médio e grande porte.	16/03/2017	16/03/2017	Foi enviado ao cidadão que se encontra na página 02 do Diário Oficial.	Anexo 37
84	16/03/2017	16/03/2017	Cidadã requereu a ata de sessão ocorrida em 29/08/2003 que tratou do aumento da tarifa de ônibus.	16/03/2017	16/03/2017	A partir de resposta oficial do Setor de Documentação e Arquivo, informamos à cidadã que o não houve nenhum registro oficial da reunião por se tratar de um evento informal organizado pela Câmara Municipal.	
85	27/03/2017	27/03/2017	Cidadã solicita toda a legislação Municipal Tributária.	27/03/2017	27/03/2017	Foi enviado à cidadã o Arquivo com o Código Tributário do Município	Anexo 38
86	13/01/2017	13/01/2017	Cidadão solicita a Ata de sessão especial realizada em 11/09/2007 bem como o discurso proferido pelo Ver. Everaldo Augusto	09/02/2017	09/02/2017	Resposta não fornecida por falta de informações na solicitação da cidadã	
87	12/04/2017	12/04/2017	Cidadão solicita lei que dispõe da regulamentação de mototaxistas	12/04/2017	12/04/2017	Foi enviado ao cidadão anexo com projeto de lei nº 67/13 que dispõe da regulamentação da atividade de moto taxistas como foi solicitado.	Anexo 39
