"esfera";"poder";"orgao";"protocolo";"assunto";"outros";"atendimento";"nao_e_pedido_de_informacao";"contem_dados_pessoais";"pedido";"pedido_pasta_do_anexo_pedido";"anexo_com_extensao_pedido";"resposta";"pasta_do_anexo_resposta";"anexo_com_extensao_resposta";"data_recurso_1";"recurso_1";"pasta_do_anexo_recurso_1";"anexo_com_extensao_recurso_1";"data_resposta_recurso_1";"resposta_recurso_1";"pasta_do_anexo_resposta_recurso_1";"anexo_com_extensao_resposta_recurso_1";"data_recurso_2";"recurso_2";"pasta_do_anexo_recurso_2";"anexo_com_extensao_recurso_2";"data_resposta_recurso_2";"resposta_recurso_2";"responsavel"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"3238";;;;;;"Prezados Senhores:

Tendo em vista a publicação do Edital n.º 18, de 11 de maio de 2016, concernente ao resultado final do concurso para o provimento de vagas e formação de cadastro reserva para os cargos de Procurador da Procuradoria Especial do TCM/RJ e outros;

Considerando o teor do art. 1º da Lei Municipal n.º 5965/2014, o qual prevê a reserva de vagas para negros e índios, apenas.

Considerando o teor do §2º do art. 3º do mesmo diploma legal, com determinação de eliminação do concurso em caso de detecção de falsidade da declaração, bem como o teor do item 4.19.2.1 do edital de abertura, com disposição que milita em idêntico sentido;

Considerando a regulamentação genérica contida no Edital TCMRJ n.º 1, de 27 de abril de 2015, relativa ao procedimento de verificação da condição de negro/índio;

Considerando o teor do acórdão proferido pelo STF na ADPF n.º 186, cujo entendimento foi no sentido de que o sistema de cotas raciais consiste na inclusão social e benefício direto dos indivíduos que, como consequência por suas características físicas marcantes como integrantes do grupo negro;

Considerando, ainda, a salutar prática adotada em inúmeros certames públicos, bem como no sistema de ingresso ao ensino superior, de procedimento de verificação da condição de negro/índio, com o fito de que sejam evitadas possíveis fraudes;

E, por fim, face à constatação pessoal da existência de candidata, na relação de aprovados constante do resultado final do concurso cujas características físicas não correspondem, aparentemente, ao fenótipo de pessoa negra/índia, indago se existirá - e quando será realizada-, por parte da Comissão do concurso, a adoção de procedimento destinado a aferir a veracidade da autodeclaração dos candidatos habilitados, tendo em vista que a prerrogativa de verificação de modo contínuo, em que pese citada na resposta ao chamado 2906, ao que se tem notícia, não foi exercida. 

Sendo este o questionamento para o momento, encerro meu pedido de esclarecimentos com protestos de elevada estima.

*******, 
Inscrição *****";;;"Em atendimento ao seu Chamado, informamos que existirá procedimento destinado a aferir a veracidade da autodeclaração dos candidatos habilitados. 
Em momento oportuno será divulgada a forma de aferição, com a atencedência necessária para a ciência dos canditados.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"3260";;;;;;"Peço a gentileza de indicar a RESOLUÇÃO que alterou o valor de R$ 250.000,00 correspondente ao Art. 218, II, d, 3 do Regimento Interno. Estou estudando para o Concurso deste Tribunal e não consegui localizar na base de dados de Legislação. Obrigado.";;;"Agradecemos seu chamado e informamos que não houve alteração do valor fixado no item 3, da alínea \"d\", do inciso II, do art. 218, do Regimento Interno deste Tribunal, fixado em R$ 250.000,00.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"3262";;;;;;"1) Peço a gentileza em saber a RESOLUÇÃO e o valor de ALÇADA fixado pelo Plenário para o exercício de 2016, em que o Tribunal pode determinar o Arquivamento do Processo. [Art. 143, p.u] do Regimento.

2) Gostaria de saber se o valor de ALÇADA tem alguma referência com o valor máximo da multa a que se refere o [art. 3º da Lei 3.714/2003].

Muito Obrigado.";;;"Em atendimento ao seu Chamado, informamos que, com base no disposto no art. 218 do RITCMRJ, \"d\", item 1, que não determina prazo para recebimento nesta Corte, de cópia dos contratos formais, termos aditivos e instrumentos congêneres decorrentes de licitação por concorrência e tomada de preços, ou de sua dispensa ou inexigibilidade, e por pregão, quando o valor do certame for inferior ao limite previsto para a modalidade prescrita no art. 23, II, \"b\" da Lei Federal nº 8666/93, poderá o processo ser arquivado. 
Entretanto, tal fato não elide sua análise de conformidade e de execução em Inspeções Ordinárias /Extraordinárias, Auditorias e Visitas Técnicas vindouras, tampouco exime os responsáveis ao ressarcimento de débitos ou aplicação de multas que possam vir a ser determinados pelo Plenário nos processos atinentes a estes instrumentos de fiscalização. 
Acrescentamos que não há qualquer correlação com o valor da multa tratada na Lei 3.714/2003.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"3272";;;;;;"Prezados, Solicito informação para complementar meus estudos :

Sobre os LEGITIMADOS que podem fazer REPRESENTAÇÃO AO TCMRJ: [Art. 201, RI]

Gostaria de saber se ALÉM das hipóteses dos incisos I, II, III, IV e V do RITCMRJ os abaixo relacionados poderão também fazer representações :

[Incisos III, IV foram retirados do Art. 237 do REGIMENTO INTERNO DO TCU e completados]

III ? os senadores da República, deputados federais, estaduais e distritais, juízes [desembargador, ministros ] ...

IV ?  os tribunais de contas dos [UNIÃO], estados, do Distrito Federal e dos municípios [TCMSP] [BA,CE,GO,PA], as câmaras municipais e os ministérios públicos da União e estaduais;


Obrigado, no aguardo de sua resposta.";;;"Agradecemos seu Chamado.
A título de colaboração com seus estudos, colocamos para sua reflexão a possibilidade de se considerar as autoridades e os órgãos elencados abrangidos pelos incisos III e V, do art. 201, do Regimento Interno deste TCMRJ, respectivamente.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"3280";;;;;;"remuneração de servidor";;;"Parece-nos que seu Chamado, cuja descrição se resume a \"remuneração de servidor\", chegou incompleto.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"3332";;;;;;"Boa tarde, prezados:
Solicito, por gentileza e mui respeitosamente, que me informem quantos aprovados no último Concurso do TCM-RJ (2004) foram convocados no cargo de Técnico de Controle Externo. 
Grato desde já
*******";;;"Em atenção ao seu Chamado, informamos que no Concurso realizado em 2004, para o então cargo de Auxiliar de Controle Externo, equivalente - hoje - ao Técnico de Controle Externo (nível médio), foram convocados 21 (vinte e um) candidatos aprovados.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"3360";;;;;;"Prezados, boa noite.

Tudo bem? Sou diretor da ********, empresa focada no desenvolvimento de soluções para empresas e Governo, sobretudo com foco em aumento da produtividade e melhoria de processos.

Buscando reforçar o nosso caráter inovador, estamos dispostos a oferecer os nossos produtos em um formato de \"contrato de êxito\" com adesão, implantação, migração e treinamento inteiramente gratuitos. Ao lograr êxito na aumento da arrecadação, comprovando com base nos próprios indicadores financeiros, haveria uma \"taxa de êxito\" correspondente a uma porcentagem deste ganho.

Seguindo este conceito, qual seria o caminho mais adequado para a construção de um modelo de contratação por parte do município ou estado? Qualquer aconselhamento é mais do que bem vindo.

Desde já agradeço,

**************";;;"Acusamos o recebimento de seu Chamado sobre ações da empresa *******, informando sobre seu direcionamento à equipe que trata do Planejamento Estratégico desta Instituição.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"3372";;;;;;"Desejo ter acesso às informações contidas nos relatórios de visita às escolas municipais de 2015 e 2016.";;;"Em atenção ao seu Chamado, informamos que o Relatório consolidado referente ao exercício de 2015, encontra-se publicado no site do Tribunal de Contas: www.tcm.rj.gov.br, no seguinte caminho: atuação - programa de visitas às escolas - relatórios. 
Com referência ao relatório consolidado - exercício de 2016, este só será concluído ao final deste exercício.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"3394";;;;;;"Na Prestação de Contas de 2014 e 2015 publicada pela CGM há diferenças entre as Despesas (Exceto Intra-Orçamentárias) do - Relatório Resumido da Execução Orçamentária 2.1.1 - Balanço Orçamentário e do Relatório Resumido da Execução Orçamentária 2.1.1 - Balanço Orçamentário.  Em 2014 enquanto no primeiro a Despesa Empenhada somou 21.545.952.355,77, no relatório por função a Despesa Empenhada somou 21.809.188.632,28.  No ano de 2015 ocorreu fato semelhante, no Balanço Orçamentário a Despesa Empenhada correspondeu a 24.364.949.191,97, enquanto na - Execução das Despesas por Função/Subfunção a Despesa empenhada registrada foi de 24.472.494.661,49.  Solicito que esta Ouvidoria informe o motivo dessas diferenças já que a conta contábil é a mesma.";;;"Em atenção ao seu Chamado, encaminhamos, em anexo, resposta de nossa unidade técnica a sua indagação.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"3430";;;;;;"Gostaria de solicitar cópia integral de todos os cds e arquivos magnéticos e digitais encaminhados pela GEORIO e arquivados neste Tribunal de Contas, conforme consta nos autos do processo 040/002.452/2013 de acompanhamento do processo de licitação da obra de \"Implantação de ciclovia junto e a jusante da Avenida Niemeyer interligando os Bairros de São Conrado e Leblon - VI AR - AP.2.1.
Deixo meu telefone pessoal para contato assim que estiverem disponíveis para a busca 21-***************
Agradeço antecipadamente a presteza de sempre deste Tribunal";;;"Solicitação atendida conforme recibo em anexo.
Em condições de fechamento.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"3436";;;;;;"Olá

Gostaria de solicitar copia do relatório de Visita Técnica em Unidades de Saúde de 2014 e de 2015.";;;"Acusamos o recebimento de seu Chamado, replicado através da Assistente *************.

Em atendimento, estamos encaminhando Relatório extraído do Sistema de Controle de Processos deste TCMRJ onde são relacionados os diversos procedimentos que tratam de Relatórios de Visitas às Unidades de Saúde deste Município nos exercícios de 2014 e 2015.

Os processos ali identificados podem ser examinados na sede desta Corte de Contas.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"3454";;;;;;"Prezados,
Gostaria de solicitar informação sobre a existência de CARGOS VAGOS de AUDITOR DE CONTROLE EXTERNO do quadro efetivo do Tribunal.

Obrigado,
*******";;;"Acusamos o recebimento e agradecemos o envio de seu Chamado. 
Informamos que há 11 (onze) cargos vagos de Auditor de Controle Externo neste TCMRJ.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"3511";;;;;;"A Requerente gostaria de obter cópia da sessão plenária do dia 13/09/2016, referente a decisão de arquivamento do processo 40/002114/2016. Que tem como fundamentação da decisão o arquivamento, interessada a Empresa Fiscal Tecnologia e Automação Ltda, Órgão de origem: CET RIO, contrato número 4/2016. Agradece.";;;"Em atendimento ao seu Chamado encaminhamos cópia da instrução da 6ª Inspetoria Geral de Controle Externo, bem como do Relatório, Voto do Conselheiro Relator e da Certidão da Secretaria das Sessões, referentes à decisão de arquivamento do processo nº 40/002.114/2016, proferido na 54ª Sessão Ordinária deste TCMRJ ocorrida no dia 13/09/2016.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"3648";;;;;;"Prezados, 

Inicialmente, informo-lhes que sou candidato ao cargo de Técnico de Controle Externo. 

Em seguida, gostaria de saber se essa Ouvidoria poderia responder às seguintes perguntas:

1) Se já há prazo previsto para divulgação do julgamento dos recursos interpostos;

2) Se é possível que me informem a quantidade de recursos interpostos;

3) Se é possível que me informem a quantidade de candidatos que compareceram à aplicação da prova objetiva e destes quantos são da reserva de vagas para negros/índios;

4) Se é possível que o TCM me informe quantos candidatos foram convocados/nomeados do concurso de 2004 para o cargo de Auxiliar de Controle Externo;

5) Segundo a Lei Municipal 5544 de 2012, são previstos 174 cargos de Técnico de Controle Externo. Gostaria de saber se o TCM poderia me informar quantos cargos de Técnico estão vagos.

Atenciosamente, 

*******";;;"Em atenção aos seus Chamados nºs. 3624 e 3648, informamos:

1) O resultado dos recursos, juntamente com o gabarito definitivo, foi divulgado em 30.11.2016;
 
2) A quantidade de recursos protocolizados pode ser obtida no site da Banca, aba de resultados;

3) O site da Banca dispõe da lista dos candidatos cotistas, conforme publicação do dia 11.11.2016;

4) O último concurso para o cargo de Auxiliar de Controle Externo realizado no ano de 2004 (atual Técnico de Controle Externo) foram convocados 21 (vinte e um) candidatos aprovados, e

5) Atualmente o TCMRJ possui em seus quadros um total de 139 cargos de Técnico de Controle Externo, e deste total 114 (cento e quatorze) estão ocupados e 25 (vinte e cinco) vagos.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"3702";;;;;;"Prezados Senhores,

É com alegria que venho acompanhando as notícias sobre o próximo concurso para Auditor de Controle Externo previsto para 2017.

Visto tratar-se de um concurso de alto nível e que exige dos candidatos uma preparação intensiva e objetiva das disciplinas, gostaria de alguns esclarecimentos, de acordo com o que for possível no momento, a fim de possibilitar um planejamento de estudos para efetivo:

- Há possíbilidade de lançamento do edital para o concurso de Auditor ainda no primeiro semestre de 2017, logo após a conclusão do concurso para Técnicos em andamento?
- As provas do concurso ocorrerão logo no início do segundo semestre de 2017?
- Serão mantidas as mesmas disciplinas do concurso de 2011?
- O próximo concurso será como o de 2011 no sentido de ter apenas provas objetivas?
- Haverá ofertas de vagas para a especialidade Tecnologia da Informação?
- Em caso positivo, assim como ocorreu em 2011, haverá provas em datas diferentes possibilitando aos candidatos concorrerem para as vagas de Controle Externo e de Tecnologia da Informação?
- Haverá provas de títulos no próximo certame?

Agradeço antecipadamente pelas valiosas informações, certo da atenção que o Tribunal de Contas do Município do Rio de Janeiro tem dado aos candidatos dos concursos públicos.

Atenciosamente,

*******
";;;"Agradecemos seu Chamado e procuraremos atender a seus questionamentos na seguinte forma:

1 - Há previsão de realizar novo Concurso Público para o cargo de Auditor de Controle Externo no próximo exercício de 2017. Não antes de se encerrar totalmente o concurso em andamento para cargo de Técnico de Controle Externo.

2 - Não há qualquer previsão sobre datas de realização das provas.

3 - A princípio serão adotados os mesmos padrões do último concurso ( 2011).

4 - Não há, no momento cargo vago de Auditor especialidade Tecnologia da Informação.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"3712";;;;;;"Boa tarde.
Estou participando do concurso pra Técnico de Controle Externo e gostaria de saber sobre o quadro de Pessoal do TCMRJ. Quantos cargos de Técnicos de Controle Externo têm ? Quantos desses estão vagos ?
att,
******************";;;"Em atendimento ao seu Chamado, informamos que atualmente o TCMRJ possui em seus quadros o quantitativo de 139 cargos para a carreira de Técnico de Controle Externo, dos quais 114 estão ocupados e 25 vagos.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"3714";;;;;;"Bom dia. Com a proximidade da realização da segunda fase da prova do concurso do TCM, nos deparamos com essa informação: \"Em consonância com a política de capacitação, aperfeiçoamento e treinamento dos servidores do TCMRJ, teve início nesta segunda-feira, dia 21 de novembro, o curso de Comunicação Escrita Oficial II, ministrado pela professora Vania Rizzo.\", que é basicamente o cerne da estrutura da segunda fase. Gostaria de maiores esclarecimentos sobre essa capacitação e se esse curso pode causar algum impacto para o concurso (já que seria uma prática ilegal). Att.";;;"Em atendimento ao seu Chamado, informamos que os cursos de Português fazem parte do Programa de Capacitação Anual do TCMRJ, visando a uniformização de redação de Relatórios e Pareceres produzidos por nossos Auditores. 

As datas escolhidas para a realização dos cursos foram condicionadas à disponibilidade de agenda da professora, ressaltando que a mesma tem ministrado o mesmo curso, neste Tribunal desde 2011. 

O fato da professora ter sido coautora do Manual de Redação Oficial da Prefeitura e ter ministrado o curso no TCMRJ não é, de modo algum, violador da isonomia do certame, porque a referida professora não participa da Banca do Concurso, não corrigirá as provas, e, ainda, porque o manual têm outros autores, os quais também podem estar lecionando a matéria para eventuais candidatos, sendo certo ainda que existem diversos outros professores lecionando tal tema.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"3878";;;;;;"Boa tarde Senhores... quero uma informação... existe uma lei municipal que concede cesta básica aos funcionários publicos... porem tem um paragrafo que diz:  funcionario cedido para orgaos externo à administração publica municip, não terão direito a cesta básica... pergunto: se um funcionário for cedido para a câmara ele não terá direito? Desculpa mas sou leiga... fico no aguardo de uma resposta... Obrigada... Deus o abençoe";;;"Este Tribunal de Contas só tem atuação no âmbito do Município do Rio de Janeiro.
Sugerimos que sua comunicação seja dirigida ao Tribunal de Contas do Estado do Rio de Janeiro, ao qual a Prefeitura de Paraty se encontra jurisdicionada, podendo ser contactado no telefone (21)3231-5200 ou no site www.tce.rj.gov.br.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"3910";;;;;;"Prezados,

Tendo em vista a existência de 35 cargos de Técnico de Controle Externo vagos atualmente no TCM, faço as seguintes perguntas:
1 -) Qual a previsão para nomeação dos futuros técnicos?
2 - ) A nomeação será restrita às vagas previstas no edital ou incluirá as vacâncias atualmente existentes?

Obrigada.";;;"Agradecendo seu Chamado, informamos que este TCMRJ,  ainda neste primeiro semestre de 2017, espera nomear, para todos os cargos vagos, os aprovados no concurso para Técnico de Controle Externo.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"4046";;;;;;"Boa tarde!Meu nome é **********.Atualmente há quantos cargos vagos de auditor?";;;"Agradecemos seu Chamado e informamos que, atualmente, há 20 (vinte) cargos vagos na carreira de Auditor de Controle Externo deste TCMRJ.

Acrescentamos que esta e outras informações se encontram disponíveis em nossa página na internet, no item referente à Lei de Acesso à Informação / Pessoal.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"4056";;;;;;"bom dia, gostaria de algumas informações....pois passei na prova de técnico de controle externo e estou muito na dúvida se vou assumir ou não.

1 - qual a lei que rege a carreira de técnico de controle externo?

2 - em relação ao triênio...fui por 12 anos sargento administrativo da aeronautica, tem como obter o triênio?

3 - em relação a aposentadoria, contribuímos para o teto do inss ou tem outro plano de aposentadoria?

4 - qual é o salário líquido?

5 - existe a possibilidade de prorrogar o prazo para a posse?

Desde já agradecido!!!";;;"Em atenção ao seu Chamado, informamos: 

1 - A carreira de Técnico de Controle Externo está prevista na Lei nº 5.544, de 20 de dezembro de 2012;

2 - O servidor de outra esfera poderá computar o tempo anterior para fins de triênio, desde que o cargo anteriormente ocupado atenda aos requisitos de similitude e equivalência com o cargo do TCMRJ, nos termos previstos na Lei Complementar nº 34/97;

3 - Os servidores estatutários do TCMRJ estão vinculados ao regime próprio de previdência, gerido pelo PREVI-RIO;

4 - O cálculo do valor líquido salarial depende das deduções individuais e 

5 - A posse poderá ser prorrogada por até 60 (sessenta) dias, mas é ato discricionário do Presidente.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"4117";;;;;;"O Requerente solicita o Quantitativo de Técnicos de Controle Externo aprovados no último concurso e as possíveis previsões, caso haja, de  Técnicos a serem convocados. Gostaria também que lhe fosse enviada uma lista com os nomes dos já nomeados. Agradece.";;;"Em atendimento ao seu Chamado, informamos que no concurso vigente para Técnico de Controle Externo foram aprovados 348 candidatos. 
Encaminhamos, em anexo, a lista dos TCEs nomeados, informando que, ainda, não temos previsão de novas convocações.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"4118";;;;;;"Gostaria da cópia digital (pdf) do relatório e voto correspondentes à auditoria realizada no FUNPREVI (na forma de Inspeção Extraordinária da CAD) - processo 40/005578/2016. Desde já agradeço.";;;"O presente será tratado no Chamado 4120.
Em condições de fechamento.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas do municipio de sao paulo";"20140003";;;;;;"Boa noite. 
Com a autorização para concurso público de Agente de Fiscalização, o TCM já possui uma definição de quais especialidades serão contempladas? Existe a possibilidade de tal concurso vir nos moldes do TCU/CGU, exigindo qualquer graduação para o ingresso no cargo de Agente, sendo a orientação do cargo definida no conteúdo programático exigido no edital? O TCU por exemplo, um tribunal de referência e com servidores também muito qualificados exige qualquer graduação para o ingresso na carreira de Auditor Federal de Controle Externo. O mesmo se aplica a CGU para o ingresso no cargo de Analista e para complementar,temos também Bacen, SUSEP, CVM, Receita Federal e Ministério do Trabalho que compões seus quadros com Auditores e Analista oriundos de concurso com qualquer formação. 
Acredito que atualmente o leque de competências exigidas para o desempenho do cargo e das equipes de trabalho não se restrinjam mais a poucas graduações. Uma equipe multidisciplinar se faz necessária para o enfrentamento das diversas situações práticas que surgem no decorrer dos trabalhos cotidianos.
Desde já agradeço a atenção e espero que minha sugestão  sirva de reflexo para os coordenadores do futuro concurso.";;;"Prezado Sr.,
Em atenção à sua mensagem eletrônica encaminhada à esta Ouvidoria, cujo teor revela dúvidas, sugestões e esclarecimentos sobre concurso público a ser realizado pelo Tribunal de Contas do Município de São Paulo, vimos, por meio deste, informá-lo que a publicação tratou, apenas e tão somente, da autorização para a realização do concurso público citado por V. Sa. 
Ainda assim, importante salientar que essa Ouvidoria encaminhou sua demanda à Comissão implantada para elaboração do Edital do respectivo concurso público, e após manifestação daquela Comissão, restou esclarecido que as medidas necessárias à realização do concurso encontram-se, ainda, em fase preparatória, não havendo, portanto, nesta oportunidade, as suas especificações e condições.
Inobstante, em atenção e respeito às sugestões ofertadas por V.Sa., que oferecem importantes subsídios à citada Comissão, comunicamos que ela oportunamente analisará as sugestões para a elaboração do Edital de acordo com os parâmetros legais.
Nesta oportunidade, agradecemos o seu contato e colocamo-nos à disposição para quaisquer esclarecimentos.
Atenciosamente, Ouvidoria do TCM-SP";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas do municipio de sao paulo";"20140006";;;;;;"Bom dia.
Tendo em vista a recente autorização para abertura de um novo concurso
público para o cargo de Agente de Fiscalização deste Tribunal e tendo
como base o edital do último concurso, realizado em 2006, venho –
respeitosamente – solicitar o esclarecimento de uma duvida, tal qual
segue abaixo:
Pretendo concorrer ao cargo de Agente de Fiscalização – Tecnologia da
Informação e sou servidor da Câmara Municipal de uma cidade da Grande
São Paulo. Passei no concurso para ocupar um cargo administrativo de
nível superior, no entanto, faz dois anos e meio, atuo na Diretoria de
Administração de Pessoal exercendo, concomitante a minhas atribuições
administrativas, a função de gestor de informática – dado o meu
conhecimento na área. No entanto, esta função está sendo exercida de
forma não oficial, tendo sido delegada, a mim, pelo Diretor de Recursos
Humanos da Câmara. Dadas as circunstâncias, a apresentação de uma
declaração, do órgão legislativo, de que atuei, por mais de dois anos,
como gestor de informática da Diretoria de administração de Pessoal,
seria suficiente para comprovar minha experiência?
Desde já, muito grato.
Respeitosamente,";;;"Prezado Sr.,
Em atenção à sua mensagem eletrônica encaminhada à esta Ouvidoria, cujo teor solicita esclarecimentos de dúvidas acerca da comprovação de experiência para participação em concurso público a ser realizado por este E. Tribunal de Contas do Município de São Paulo, vimos, por meio deste, informá-lo que a publicação tratou, apenas e tão somente, da autorização para a realização do concurso público para o preenchimento de cargos de agente de fiscalização, citado por V. Sa. 
Ainda assim, importante salientar que essa Ouvidoria encaminhou sua demanda à Comissão implantada para elaboração do Edital do respectivo concurso público, e após manifestação daquela Comissão, restou esclarecido que as medidas necessárias à realização do concurso encontram-se, ainda, em fase preparatória, sendo certo que questões como trazida por V. Sa. serão esclarecidas com a elaboração e divulgação oficial do competente edital, não sendo possível, neste momento, a prestação de informações como a solicitada.
Inobstante, em atenção e respeito às sugestões ofertadas por V.Sa., que oferecem importantes subsídios à citada Comissão, comunicamos que ela oportunamente analisará as sugestões para a elaboração do Edital de acordo com os parâmetros legais.
Nesta oportunidade, agradecemos o seu contato e colocamo-nos à disposição para quaisquer esclarecimentos.
Atenciosamente, Ouvidoria do TCM-SP";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas do municipio de sao paulo";"20140008";;;;;;"Boa tarde,
Solicito aos Senhores o e-mail do Sr. Roberto Braguim ou de algum dos servidores mencionados abaixo que estão fomulando o edital 2015 do TCM. O assunto é referente a edição do edital. 
Servidores: Rodrigo Pupim Anthero de Oliveira, Livio Mario Fornazieri, Cláudio Figo dos Santos Júnior, Marina Branco de Araújo, Noé D'Agostini Neto, Elaine dos Reis Rúbio, Luiza Correia Hruschka, Rita Salete Pavão de Carvalho Vale, Eloisa Crunfli Cobos Martin ou Mário Augusto de Toledo Reis.
Atenciosamente
";;;"Prezado Sr. ,
Em atenção à sua mensagem eletrônica encaminhada à esta Ouvidoria, vimos, por meio deste, informá-lo que esta Ouvidoria contatou o gabinete do Nobre Conselheiro Roberto Braguim, devendo V.Senhoria encaminhar suas dúvidas, sugestões ou esclarecimentos sobre a publicação que tratou da autorização para a realização do concurso público deste Tribunal, para a Comissão implantada para elaboração do Edital do respectivo concurso público, através do e-mail: rb@tcm.sp.gov.br.
Clique aqui e ajude-nos a melhorar o trabalho da Ouvidoria do TCM-SP, respondendo a breve pesquisa de satisfação.
Nesta oportunidade, agradecemos o seu contato e colocamo-nos à disposição para quaisquer esclarecimentos.
Atenciosamente, Ouvidoria do TCM-SP";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas do municipio de sao paulo";"20150004";;;;;;"Boa tarde senhores,
Estou tentando encontrar neste site a Lista de Cargos e Salários dos Procuradores da Municipalidade de SP, que foi divulgada pela TCM em julho de 2012, cuja notícia foi publicada pelo G1, porém não obtive sucesso, gostaria de saber se o site tem arquivado esta lista e se é possível ter acesso.
atenciosamente.
";;;"Prezada Sra.,
Em atenção à sua mensagem eletrônica encaminhada à esta Ouvidoria, cujo teor versa sobre a possibilidade de acesso, via \"internet\", à eventual lista de cargos e salários de Procuradores do Município de São Paulo, vimos à presença de V. Sa. esclarecer que o caso manifestado não é de competência desta Ouvidoria, não encontrando respaldo nas disposições constantes na Resolução nº 6/2014 deste Tribunal de Contas do Município de São Paulo.
Cumpre-nos salientar que compete ao TCM-SP, na forma da Constituição Federal, a fiscalização orçamentária e o controle externo das contas dos Poderes Municipais, apontado eventuais irregularidades ou ilegalidades de atos praticados na gestão de recursos públicos sujeitos à sua fiscalização. 
Inobstante, em atenção e respeito a V.Sa., solicitamos o seu contato junto à Procuradoria Geral do Município de São Paulo, através do telefone 3396-1600 ou no e-mail: pgmgabinete@prefeitura.sp.gov.br, ou, ainda, junto a Ouvidoria do Município de São Paulo, no telefone 3334-7105, para inteiro conhecimento daquele órgão sobre sua demanda e adoção das medidas que entenderem cabíveis de acordo com os parâmetros legais.
Nesta oportunidade, agradecemos o seu contato e colocamo-nos à disposição para quaisquer esclarecimentos.
Atenciosamente, Ouvidoria do TCM-SP";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas do municipio de sao paulo";"20150021";;;;;;"Certidão para minha nomeação como Contador Chefe junto ao Tribunal de Justiça de SP. Meu e-mail xxxxx";;;"Prezado (a) 
 Em atenção à sua mensagem eletrônica, solicitamos seu esclarecimento sobre o envio a este Tribunal de Contas, pois entendemos que houve um equívoco, uma vez que o conteúdo de sua mensagem refere-se ao TRIBUNAL DE JUSTIÇA DE SÃO PAULO.
Att. Ouvidoria do TCM-SP";;;;;;;;;;;;;;;;;"Ana"
